x,y,date
263778.96719121,6620175.47722824,2021-05-06 07:01:06
263778.96719121,6620175.47722824,2021-05-06 07:03:08
263812.612710818,6620177.59148378,2021-05-06 07:05:08
263812.612710818,6620177.59148378,2021-05-06 07:07:09
263812.612710818,6620177.59148378,2021-05-06 07:09:10
263812.612710818,6620177.59148378,2021-05-06 07:11:11
263798.758975575,6620163.17048018,2021-05-06 07:13:14
263798.758975575,6620163.17048018,2021-05-06 07:15:17
263798.758975575,6620163.17048018,2021-05-06 07:17:21
263798.758975575,6620163.17048018,2021-05-06 07:19:21
263798.758975575,6620163.17048018,2021-05-06 07:21:26
263798.758975575,6620163.17048018,2021-05-06 07:23:30
263798.758975575,6620163.17048018,2021-05-06 07:25:34
263768.427376163,6620170.56113103,2021-05-06 07:27:41
263768.427376163,6620170.56113103,2021-05-06 07:29:45
263768.427376163,6620170.56113103,2021-05-06 07:31:49
263768.427376163,6620170.56113103,2021-05-06 07:33:53
263768.427376163,6620170.56113103,2021-05-06 07:35:57
263768.427376163,6620170.56113103,2021-05-06 07:38:01
263768.427376163,6620170.56113103,2021-05-06 07:40:06
263768.427376163,6620170.56113103,2021-05-06 07:42:10
263768.427376163,6620170.56113103,2021-05-06 07:44:14
263768.427376163,6620170.56113103,2021-05-06 07:46:19
263770.509994119,6620170.4293429,2021-05-06 07:48:23
263770.509994119,6620170.4293429,2021-05-06 07:50:27
263770.509994119,6620170.4293429,2021-05-06 07:52:31
263781.176641878,6620188.96004974,2021-05-06 07:55:34
263780.775623273,6620190.66033866,2021-05-06 07:57:41
263780.775623273,6620190.66033866,2021-05-06 07:59:49
263760.251966186,6620185.14776215,2021-05-06 08:08:16
263760.251966186,6620185.14776215,2021-05-06 08:10:21
263760.251966186,6620185.14776215,2021-05-06 08:13:23
263770.587423376,6620172.54600071,2021-05-06 08:21:28
263770.587423376,6620172.54600071,2021-05-06 08:23:33
263770.587423376,6620172.54600071,2021-05-06 08:25:41
263777.405285997,6620179.372533,2021-05-06 08:27:52
263777.405285997,6620179.372533,2021-05-06 08:30:09
263786.171689255,6620156.26232396,2021-05-06 08:32:15
263786.171689255,6620156.26232396,2021-05-06 08:34:23
263788.1982317,6620173.99983458,2021-05-06 08:36:42
263788.1982317,6620173.99983458,2021-05-06 08:38:53
263771.009453028,6620164.92635226,2021-05-06 09:03:56
263743.871892967,6620159.3857382,2021-05-06 09:06:09
263763.417868489,6620172.66471263,2021-05-06 09:08:17
263789.42254175,6620179.95205373,2021-05-06 09:13:38
263789.42254175,6620179.95205373,2021-05-06 09:15:59
263756.037259506,6620173.91340415,2021-05-06 09:18:07
263756.037259506,6620173.91340415,2021-05-06 09:20:17
263756.037259506,6620173.91340415,2021-05-06 09:22:25
263766.647353223,6620173.68861701,2021-05-06 10:01:29
263766.647353223,6620173.68861701,2021-05-06 10:03:33
263766.647353223,6620173.68861701,2021-05-06 10:05:37
263766.647353223,6620173.68861701,2021-05-06 10:07:41
263765.711636728,6620176.76267531,2021-05-06 10:09:46
263765.711636728,6620176.76267531,2021-05-06 10:11:50
263765.711636728,6620176.76267531,2021-05-06 10:13:54
263772.086172956,6620179.26247653,2021-05-06 10:20:37
263794.305366477,6620174.0600535,2021-05-06 10:22:41
263794.305366477,6620174.0600535,2021-05-06 10:24:45
263794.305366477,6620174.0600535,2021-05-06 10:26:49
263788.001243378,6620175.35222958,2021-05-06 10:28:53
263788.001243378,6620175.35222958,2021-05-06 10:31:00
263778.045186499,6620153.76169499,2021-05-06 10:33:11
263792.039684685,6620161.47407297,2021-05-06 10:35:28
263792.039684685,6620161.47407297,2021-05-06 10:37:33
263783.962708399,6620179.40424106,2021-05-06 10:40:09
263797.711103689,6620211.80925461,2021-05-06 10:44:29
263782.028196755,6620204.2037091,2021-05-06 11:32:18
263782.028196755,6620204.2037091,2021-05-06 11:34:26
263782.028196755,6620204.2037091,2021-05-06 11:36:54
263783.104391139,6620183.70166628,2021-05-06 11:39:02
263783.104391139,6620183.70166628,2021-05-06 11:41:13
263783.104391139,6620183.70166628,2021-05-06 11:43:18
263757.521710063,6620167.90143234,2021-05-06 11:45:29
263757.521710063,6620167.90143234,2021-05-06 11:47:33
263757.521710063,6620167.90143234,2021-05-06 11:49:37
263757.521710063,6620167.90143234,2021-05-06 11:51:41
263757.521710063,6620167.90143234,2021-05-06 11:53:46
263797.738868048,6620173.84280554,2021-05-06 11:55:52
263758.014130257,6620163.18051051,2021-05-06 11:57:59
263758.014130257,6620163.18051051,2021-05-06 12:00:07
263787.016228189,6620175.86120026,2021-05-06 12:02:15
263769.517824176,6620163.68081101,2021-05-06 12:04:23
263770.925015306,6620164.48505176,2021-05-06 12:06:31
263768.75810537,6620173.1084037,2021-05-06 12:08:39
263768.75810537,6620173.1084037,2021-05-06 12:10:47
263768.75810537,6620173.1084037,2021-05-06 12:12:55
263768.75810537,6620173.1084037,2021-05-06 12:15:03
263768.75810537,6620173.1084037,2021-05-06 12:17:11
263768.75810537,6620173.1084037,2021-05-06 12:19:19
263768.75810537,6620173.1084037,2021-05-06 12:21:27
263768.75810537,6620173.1084037,2021-05-06 12:23:35
263768.75810537,6620173.1084037,2021-05-06 12:25:43
263768.75810537,6620173.1084037,2021-05-06 12:27:54
263787.677650265,6620180.06246199,2021-05-06 12:30:00
263787.677650265,6620180.06246199,2021-05-06 12:32:06
263787.677650265,6620180.06246199,2021-05-06 12:34:14
263787.677650265,6620180.06246199,2021-05-06 12:36:20
263787.677650265,6620180.06246199,2021-05-06 12:38:28
263787.677650265,6620180.06246199,2021-05-06 12:40:33
263787.677650265,6620180.06246199,2021-05-06 12:42:41
263787.677650265,6620180.06246199,2021-05-06 12:44:49
263787.677650265,6620180.06246199,2021-05-06 12:46:57
263787.677650265,6620180.06246199,2021-05-06 12:49:05
263787.677650265,6620180.06246199,2021-05-06 12:51:13
263787.677650265,6620180.06246199,2021-05-06 12:53:21
263787.677650265,6620180.06246199,2021-05-06 12:55:29
263787.677650265,6620180.06246199,2021-05-06 12:57:37
263787.677650265,6620180.06246199,2021-05-06 12:59:45
263804.943469027,6620155.52122587,2021-05-06 13:01:53
263793.594577715,6620157.46755923,2021-05-06 13:04:01
263788.310702265,6620165.0598479,2021-05-06 13:06:28
263795.494234866,6620153.55089316,2021-05-06 13:23:51
263799.98326209,6620168.22941619,2021-05-06 13:25:59
263803.620780526,6620164.0911363,2021-05-06 13:28:07
263803.620780526,6620164.0911363,2021-05-06 13:30:25
263803.620780526,6620164.0911363,2021-05-06 13:32:40
263803.620780526,6620164.0911363,2021-05-06 13:34:48
263801.946277272,6620168.88683907,2021-05-06 13:37:24
263801.671729669,6620149.36356318,2021-05-06 13:39:43
263799.068707698,6620180.56997539,2021-05-06 13:41:51
263799.068707698,6620180.56997539,2021-05-06 13:43:59
263799.068707698,6620180.56997539,2021-05-06 13:46:07
263799.068707698,6620180.56997539,2021-05-06 13:48:15
263799.068707698,6620180.56997539,2021-05-06 13:50:23
263799.068707698,6620180.56997539,2021-05-06 13:52:31
263797.893614411,6620169.14325854,2021-05-06 13:54:39
263802.396573157,6620168.85834829,2021-05-06 13:56:47
263802.396573157,6620168.85834829,2021-05-06 13:58:55
263802.396573157,6620168.85834829,2021-05-06 14:01:03
263802.396573157,6620168.85834829,2021-05-06 14:03:11
263802.396573157,6620168.85834829,2021-05-06 14:05:19
263802.396573157,6620168.85834829,2021-05-06 14:07:27
263802.396573157,6620168.85834829,2021-05-06 14:09:35
263802.396573157,6620168.85834829,2021-05-06 14:11:43
263802.396573157,6620168.85834829,2021-05-06 14:13:51
263802.396573157,6620168.85834829,2021-05-06 14:15:59
263802.396573157,6620168.85834829,2021-05-06 14:18:07
263802.396573157,6620168.85834829,2021-05-06 14:20:15
263802.396573157,6620168.85834829,2021-05-06 14:22:23
263802.396573157,6620168.85834829,2021-05-06 14:24:31
263802.396573157,6620168.85834829,2021-05-06 14:26:39
263802.396573157,6620168.85834829,2021-05-06 14:28:47
263805.372759351,6620170.34495516,2021-05-06 14:30:55
263793.073981412,6620163.53018562,2021-05-06 14:33:04
263793.073981412,6620163.53018562,2021-05-06 14:35:12
263780.599258508,6620156.61492501,2021-05-06 14:39:25
263803.163535946,6620175.62113294,2021-05-06 14:41:33
263803.163535946,6620175.62113294,2021-05-06 14:43:41
263791.012677334,6620182.7546211,2021-05-06 14:46:45
263796.014933729,6620158.20770299,2021-05-06 14:58:37
263796.014933729,6620158.20770299,2021-05-06 15:00:45
263796.014933729,6620158.20770299,2021-05-06 15:02:53
263796.014933729,6620158.20770299,2021-05-06 15:05:01
263769.890409802,6620143.66992959,2021-05-06 15:07:09
263773.155077683,6620143.46334511,2021-05-06 15:09:18
263799.596267259,6620165.68570259,2021-05-06 15:11:26
263799.596267259,6620165.68570259,2021-05-06 15:13:34
263799.596267259,6620165.68570259,2021-05-06 15:15:42
263799.596267259,6620165.68570259,2021-05-06 15:17:50
263799.596267259,6620165.68570259,2021-05-06 15:20:01
263799.596267259,6620165.68570259,2021-05-06 15:22:09
263799.596267259,6620165.68570259,2021-05-06 15:24:17
263799.596267259,6620165.68570259,2021-05-06 15:26:25
263799.596267259,6620165.68570259,2021-05-06 15:28:33
263778.530528331,6620143.56984249,2021-05-06 15:30:41
263787.874319763,6620151.01818988,2021-05-06 15:32:49
263787.874319763,6620151.01818988,2021-05-06 15:34:57
263787.874319763,6620151.01818988,2021-05-06 15:37:05
263820.542161858,6620188.59086891,2021-05-06 15:42:22
263814.449063308,6620176.24703175,2021-05-06 15:44:31
263814.449063308,6620176.24703175,2021-05-06 15:46:39
263814.449063308,6620176.24703175,2021-05-06 15:48:47
263814.449063308,6620176.24703175,2021-05-06 15:50:55
263814.449063308,6620176.24703175,2021-05-06 15:53:03
263775.603826731,6620160.72749375,2021-05-06 15:55:11
263792.159369987,6620168.72445626,2021-05-06 15:57:19
263786.312528102,6620166.52621319,2021-05-06 15:59:27
263787.747622381,6620146.33645003,2021-05-06 16:30:09
263791.483636748,6620140.18203155,2021-05-06 16:32:17
263792.940181844,6620151.59093949,2021-05-06 16:34:25
263801.516967487,6620153.1698236,2021-05-06 16:37:18
263801.516967487,6620153.1698236,2021-05-06 16:39:26
263794.031138462,6620190.2682304,2021-05-06 16:41:33
263793.524548666,6620189.40699739,2021-05-06 16:43:42
263793.524548666,6620189.40699739,2021-05-06 16:45:50
263793.524548666,6620189.40699739,2021-05-06 16:47:58
263793.524548666,6620189.40699739,2021-05-06 16:50:06
263793.524548666,6620189.40699739,2021-05-06 16:52:14
263793.524548666,6620189.40699739,2021-05-06 16:54:22
263793.524548666,6620189.40699739,2021-05-06 16:56:30
263793.524548666,6620189.40699739,2021-05-06 16:58:38
263793.524548666,6620189.40699739,2021-05-06 17:00:46
263793.524548666,6620189.40699739,2021-05-06 17:02:54
263793.524548666,6620189.40699739,2021-05-06 17:05:02
263793.524548666,6620189.40699739,2021-05-06 17:07:10
263796.908507056,6620159.82607712,2021-05-06 17:09:18
263800.461690496,6620166.85921505,2021-05-06 17:11:26
263799.933982049,6620164.771048,2021-05-06 17:13:34
263799.715848437,6620162.21665025,2021-05-06 17:15:42
263799.715848437,6620162.21665025,2021-05-06 17:17:50
263796.401922944,6620159.85812996,2021-05-06 17:20:20
263796.401922944,6620159.85812996,2021-05-06 17:22:28
263796.401922944,6620159.85812996,2021-05-06 17:24:36
263796.401922944,6620159.85812996,2021-05-06 17:26:43
263796.401922944,6620159.85812996,2021-05-06 17:28:53
263796.401922944,6620159.85812996,2021-05-06 17:31:00
263796.401922944,6620159.85812996,2021-05-06 17:33:09
263796.401922944,6620159.85812996,2021-05-06 17:35:16
